iter	Passed	Remaining
191	6395	26916
192	6428	26879
193	6455	26820
194	6484	26769
195	6505	26685
196	6544	26677
197	6576	26636
198	6603	26578
199	6634	26539
200	6661	26479
201	6685	26410
202	6730	26424
203	6779	26453
204	6839	26524
205	6892	26566
206	6945	26607
207	6974	26556
208	6997	26485
209	7031	26452
210	7066	26424
211	7097	26380
212	7127	26333
213	7150	26261
214	7181	26220
215	7217	26195
216	7247	26152
217	7280	26116
218	7314	26086
219	7352	26067
220	7382	26021
221	7412	25978
222	7438	25917
223	7480	25913
224	7504	25850
225	7534	25804
226	7558	25738
227	7595	25719
228	7627	25680
229	7652	25620
230	7688	25595
231	7711	25527
232	7749	25511
233	7774	25450
234	7804	25406
235	7849	25409
236	7876	25358
237	7908	25321
238	7947	25304
239	7974	25251
240	8001	25198
241	8027	25144
242	8055	25095
243	8085	25052
244	8121	25027
245	8148	24975
246	8173	24916
247	8315	25213
248	8364	25226
249	8404	25212
250	8433	25165
251	8466	25130
252	8492	25073
253	8513	25005
254	8548	24973
255	8581	24940
256	8611	24894
257	8636	24838
258	8661	24779
259	8693	24743
260	8724	24702
261	8745	24634
262	8779	24602
263	8812	24568
264	8845	24533
265	8872	24483
266	8910	24463
267	8941	24422
268	8969	24374
269	8992	24313
270	9028	24285
271	9057	24241
272	9080	24181
273	9111	24142
274	9142	24101
275	9171	24057
276	9201	24017
277	9227	23965
278	9256	23919
279	9294	23900
280	9325	23861
281	9354	23816
282	9380	23766
283	9402	23704
284	9441	23686
285	9468	23639
286	9492	23582
287	9519	23533
288	9548	23491
289	9579	23453
290	9615	23427
291	9641	23376
292	9664	23320
293	9706	23308
294	9731	23257
295	9766	23228
296	9798	23194
297	9824	23144
298	9853	23101
299	9875	23042
300	9915	23026
301	9947	22990
302	9970	22935
303	9993	22879
304	10031	22857
305	10061	22819
306	10090	22776
307	10113	22722
308	10145	22688
309	10178	22656
310	10206	22611
311	10229	22556
312	10268	22538
313	10295	22491
314	10323	22450
315	10350	22404
316	10376	22357
317	10404	22314
318	10440	22289
319	10465	22238
320	10491	22192
321	10524	22160
322	10642	22307
323	10714	22355
324	10741	22309
325	10783	22294
326	10805	22238
327	10843	22216
328	10871	22171
329	10897	22125
330	10923	22078
331	10951	22035
332	10978	21990
333	11011	21956
334	11040	21916
335	11068	21872
336	11093	21824
337	11125	21789
338	11158	21758
339	11183	21708
340	11207	21659
341	11240	21627
342	11279	21604
343	11307	21562
344	11340	21529
345	11364	21481
346	11388	21431
347	11427	21410
348	11456	21369
349	11486	21332
350	11511	21283
351	11532	21230
352	11571	21209
353	11601	21171
354	11626	21124
355	11661	21095
356	11730	21128
357	11763	21095
358	11787	21047
359	11816	21006
360	11848	20972
361	11878	20935
362	11911	20901
363	11936	20855
364	11960	20808
365	12016	20816
366	12041	20769
367	12070	20729
368	12099	20691
369	12125	20645
370	12166	20626
371	12198	20593
372	12234	20565
373	12264	20529
374	12293	20489
375	12326	20456
376	12351	20410
377	12376	20366
378	12415	20342
379	12442	20300
380	12476	20270
381	12506	20233
382	12531	20188
383	12558	20146
384	12590	20111
385	12619	20073
386	12649	20035
387	12677	19997
388	12712	19968
389	12744	19933
390	12771	19892
391	12803	19858
392	12829	19815
393	12858	19777
394	12886	19737
395	12926	19715
396	12954	19676
397	12982	19637
398	13005	19589
399	13033	19550
400	13062	19512
401	13088	19469
402	13121	19438
403	13161	19416
404	13183	19368
405	13219	19341
406	13253	19309
407	13284	19275
408	13316	19242
409	13343	19201
410	13366	19156
411	13404	19130
412	13429	19087
413	13460	19053
414	13481	19003
415	13514	18972
416	13544	18936
417	13570	18894
418	13594	18850
419	13629	18821
420	13665	18794
421	13694	18757
422	13727	18725
423	13752	18682
424	13776	18639
425	13813	18612
426	13841	18574
427	13872	18539
428	13896	18495
429	13916	18447
430	13956	18424
431	13989	18394
432	14014	18351
433	14044	18316
434	14079	18286
435	14107	18249
436	14139	18215
437	14170	18181
438	14197	18142
439	14217	18095
440	14248	18060
441	14285	18034
442	14311	17994
443	14336	17952
444	14373	17925
445	14400	17887
446	14425	17846
447	14456	17812
448	14480	17770
449	14514	17739
450	14549	17710
451	14574	17669
452	14600	17629
453	14637	17603
454	14661	17562
455	14699	17535
456	14732	17505
457	14763	17470
458	14796	17440
459	14822	17400
460	14848	17360
461	14883	17331
462	14912	17295
463	14947	17266
464	14974	17229
465	15002	17191
466	15027	17150
467	15060	17119
468	15094	17089
469	15126	17057
470	15153	17019
471	15174	16975
472	15214	16951
473	15242	16914
474	15272	16880
475	15300	16842
476	15321	16799
477	15361	16775
478	15389	16738
479	15416	16701
480	15445	16665
481	15465	16621
482	15498	16589
483	15535	16562
484	15564	16527
485	15594	16493
486	15618	16452
487	15649	16419
488	15691	16397
489	15721	16363
490	15748	16326
491	15780	16293
492	15805	16254
493	15830	16215
494	15871	16192
495	15899	16155
496	15932	16124
497	15964	16092
498	15988	16052
499	16021	16021
500	16046	15982
501	16072	15943
502	16108	15916
503	16134	15878
504	16159	15839
505	16196	15812
506	16240	15792
507	16269	15756
508	16297	15720
509	16320	15680
510	16353	15649
511	16378	15610
512	16412	15580
513	16443	15548
514	16473	15514
515	16495	15472
516	16535	15447
517	16563	15412
518	16594	15379
519	16657	15375
520	16705	15358
521	16728	15318
522	16754	15281
523	16781	15244
524	16809	15208
525	16851	15185
526	16879	15150
527	16907	15114
528	16942	15084
529	16972	15050
530	17001	15016
531	17025	14977
532	17065	14952
533	17101	14923
534	17128	14887
535	17154	14849
536	17191	14822
537	17234	14800
538	17274	14774
539	17304	14740
540	17340	14712
541	17373	14680
542	17399	14644
543	17428	14609
544	17452	14570
545	17483	14537
546	17520	14509
547	17547	14473
548	17582	14443
549	17610	14408
550	17631	14367
551	17672	14342
552	17702	14309
553	17733	14276
554	17763	14242
555	17790	14206
556	17815	14169
557	17850	14139
558	17882	14107
559	17917	14077
560	17945	14042
561	17967	14003
562	18007	13977
563	18033	13940
564	18060	13905
565	18090	13871
566	18113	13833
567	18150	13804
568	18183	13773
569	18213	13739
570	18239	13703
571	18264	13666
572	18298	13636
573	18333	13606
574	18364	13573
575	18392	13539
576	18420	13504
577	18443	13465
578	18477	13435
579	18511	13404
580	18536	13368
581	18564	13333
582	18602	13305
583	18628	13269
584	18668	13243
585	18697	13209
586	18730	13178
587	18761	13146
588	18790	13111
589	18813	13074
590	18972	13129
591	19003	13096
592	19028	13059
593	19055	13024
594	19089	12993
595	19113	12956
596	19149	12926
597	19182	12894
598	19207	12858
599	19235	12823
600	19262	12788
601	19289	12752
602	19325	12723
603	19349	12686
604	19374	12649
605	19415	12623
606	19442	12587
607	19473	12555
608	19498	12519
609	19523	12482
610	19560	12453
611	19590	12419
612	19618	12385
613	19651	12354
614	19790	12389
615	19827	12360
616	19897	12351
617	19924	12315
618	19953	12281
619	19982	12247
620	20006	12210
621	20037	12177
622	20069	12145
623	20096	12109
624	20123	12074
625	20151	12039
626	20183	12007
627	20217	11976
628	20247	11942
629	20271	11905
630	20305	11874
631	20334	11840
632	20364	11806
633	20399	11776
634	20426	11741
635	20454	11706
636	20480	11671
637	20509	11637
638	20542	11605
639	20569	11570
640	20591	11532
641	20630	11504
642	20662	11471
643	20686	11435
644	20718	11403
645	20743	11367
646	20777	11336
647	20810	11304
648	20835	11268
649	20861	11233
650	20894	11201
651	20927	11169
652	20955	11135
653	20982	11100
654	21005	11063
655	21039	11033
656	21080	11005
657	21105	10969
658	21143	10940
659	21174	10908
660	21205	10875
661	21233	10841
662	21258	10805
663	21289	10772
664	21323	10741
665	21346	10705
666	21373	10670
667	21407	10639
668	21436	10606
669	21467	10573
670	21492	10538
671	21516	10501
672	21572	10481
673	21633	10463
674	21657	10427
675	21688	10395
676	21723	10364
677	21752	10331
678	21786	10299
679	21811	10264
680	21832	10227
681	21866	10195
682	21899	10164
683	21924	10128
684	21951	10094
685	21989	10065
686	22018	10031
687	22052	10000
688	22084	9968
689	22115	9935
690	22145	9902
691	22170	9867
692	22211	9839
693	22236	9804
694	22257	9767
695	22292	9737
696	22322	9703
697	22347	9669
698	22383	9638
699	22410	9604
700	22441	9572
701	22466	9536
702	22485	9499
703	22517	9467
704	22550	9436
705	22575	9401
706	22622	9375
707	22647	9340
708	22671	9305
709	22709	9275
710	22747	9246
711	22780	9214
712	22808	9181
713	22835	9147
714	22865	9114
715	22897	9082
716	22922	9047
717	22958	9017
718	22989	8984
719	23019	8951
720	23045	8917
721	23069	8882
722	23106	8852
723	23138	8820
724	23161	8785
725	23191	8752
726	23227	8722
727	23253	8687
728	23283	8655
729	23308	8620
730	23333	8586
731	23373	8557
732	23400	8523
733	23429	8490
734	23454	8456
735	23477	8421
736	23520	8393
737	23550	8360
738	23579	8327
739	23610	8295
740	23633	8260
741	23665	8228
742	23698	8197
743	23727	8164
744	23758	8132
745	23784	8098
746	23806	8063
747	23842	8032
748	23874	8000
749	23899	7966
750	23930	7934
751	23957	7900
752	23990	7869
753	24023	7837
754	24056	7806
755	24085	7773
756	24113	7740
757	24136	7706
758	24174	7675
759	24205	7643
760	24226	7608
761	24265	7579
762	24292	7545
763	24321	7513
764	24355	7481
765	24380	7447
766	24403	7413
767	24440	7383
768	24471	7351
769	24503	7319
770	24528	7285
771	24552	7251
772	24593	7222
773	24622	7189
774	24645	7155
775	24672	7122
776	24709	7091
777	24738	7058
778	24769	7027
779	24794	6993
780	24819	6959
781	24855	6929
782	24884	6896
783	24913	6863
784	24939	6830
785	24963	6796
786	25001	6766
787	25031	6734
788	25058	6701
789	25089	6669
790	25114	6635
791	25149	6604
792	25181	6573
793	25210	6540
794	25235	6507
795	25260	6473
796	25290	6441
797	25326	6411
798	25352	6377
799	25373	6343
800	25424	6316
801	25450	6283
802	25473	6249
803	25512	6219
804	25548	6188
805	25585	6158
806	25612	6125
807	25639	6092
808	25667	6059
809	25693	6026
810	25728	5995
811	25759	5963
812	25782	5930
813	25807	5897
814	25847	5867
815	25876	5834
816	25906	5802
817	25934	5770
818	25955	5736
819	25990	5705
820	26023	5673
821	26051	5641
822	26081	5609
823	26105	5575
824	26137	5544
825	26169	5512
826	26193	5479
827	26217	5446
828	26254	5415
829	26285	5383
830	26315	5351
831	26340	5318
832	26363	5285
833	26399	5254
834	26428	5222
835	26452	5189
836	26479	5156
837	26562	5134
838	26592	5102
839	26613	5069
840	26652	5039
841	26681	5006
842	26712	4974
843	26744	4943
844	26769	4910
845	26794	4877
846	26830	4846
847	26860	4814
848	26892	4782
849	26917	4750
850	26941	4717
851	26976	4686
852	27008	4654
853	27034	4621
854	27065	4589
855	27098	4558
856	27124	4525
857	27155	4494
858	27273	4476
859	27330	4449
860	27356	4416
861	27391	4385
862	27421	4353
863	27454	4321
864	27487	4289
865	27515	4257
866	27543	4225
867	27567	4192
868	27593	4159
869	27626	4128
870	27650	4095
871	27680	4063
872	27725	4033
873	27768	4003
874	27799	3971
875	27827	3939
876	27859	3907
877	27892	3875
878	27916	3842
879	27940	3810
880	27977	3779
881	28009	3747
882	28041	3715
883	28068	3683
884	28090	3650
885	28130	3619
886	28156	3587
887	28184	3554
888	28213	3522
889	28237	3490
890	28269	3458
891	28297	3426
892	28330	3394
893	28362	3362
894	28393	3331
895	28418	3298
896	28446	3266
897	28480	3234
898	28512	3203
899	28544	3171
900	28568	3139
901	28590	3106
902	28630	3075
903	28661	3043
904	28693	3012
905	28718	2979
906	28740	2946
907	28775	2915
908	28808	2884
909	28832	2851
910	28865	2819
911	28889	2787
912	28925	2756
913	28957	2724
914	28981	2692
915	29010	2660
916	29037	2628
917	29074	2597
918	29107	2565
919	29136	2533
920	29158	2501
921	29187	2469
922	29218	2437
923	29249	2405
924	29279	2373
925	29306	2341
926	29337	2310
927	29371	2278
928	29398	2246
929	29423	2214
930	29454	2182
931	29483	2151
932	29522	2120
933	29551	2088
934	29575	2056
935	29603	2024
936	29640	1992
937	29668	1961
938	29700	1929
939	29730	1897
940	29751	1865
941	29791	1834
942	29817	1802
943	29848	1770
944	29878	1738
945	29902	1706
946	29938	1675
947	29968	1643
948	29998	1612
949	30029	1580
950	30054	1548
951	30079	1516
952	30114	1485
953	30147	1453
954	30179	1422
955	30208	1390
956	30229	1358
957	30267	1326
958	30297	1295
959	30321	1263
960	30352	1231
961	30386	1200
962	30412	1168
963	30445	1136
964	30474	1105
965	30498	1073
966	30531	1041
967	30562	1010
968	30597	978
969	30628	947
970	30657	915
971	30686	883
972	30712	852
973	30741	820
974	30777	789
975	30803	757
976	30826	725
977	30863	694
978	30893	662
979	30921	631
980	30945	599
981	30982	567
982	31013	536
983	31042	504
984	31066	473
985	31097	441
986	31130	410
987	31159	378
988	31190	346
989	31222	315
990	31251	283
991	31276	252
992	31306	220
993	31339	189
994	31368	157
995	31391	126
996	31432	94
997	31488	63
998	31533	31
999	31557	0
